fragen		to ask, to enquire	fragtest	gefragt	frag(e)	fragst	fragest	fragtest
sein		to be, to exist	warst	gewesen	sei	bist	sei(e)st	wär(e)st
haben		to have, to have got	hattest	gehabt	hab(e)	hast	habest	hättest
werden		to become, to will	wurdest/wardest	geworden	werd(e)	wirst	werdest	würdest
können		to can, to be able to, to be allowed to, to may	konntest	gekonnt	-	kannst	könnest	könntest
dürfen		to may	durftest	gedurft	-	darfst	dürfest	dürftest
müssen		to must, to have to	musstest	gemusst	-	musst	müssest	müsstest
sollen		to shall, to should	solltest	gesollt	-	sollst	sollest	solltest
wollen		to want, to wish	wolltest	gewollt	-	willst	wollest	wolltest
mögen		to like	mochtest	gemocht	-	magst	mögest	möchtest
lassen		to let, to stop, to quit, to allow	ließ(es)t	gelassen	lass(e)	lässt	lassest	ließest
brauchen		to need	brauchtest	gebraucht	brauch(e)	brauchst	brauchest	brauchtest
fahren		to go, to cart, to drive, to ride, to sail, to pass, to wipe	fuhrst	gefahren	fahr(e)	fährst	fahrest	führest
kommen		to come, to arrive, to advance, to return, to happen, to come from, to be due to	kamst	gekommen	komm(e)	kommst/kömmst	kommest	kämest
anfangen		to begin, to start, to commence, to launch out (into), to start off (with), to take up, to embark (on/onto), to initiate, to open, to start to do, to start doing, to get going, to get started, to introduce, to begin to do, to get down (to), to set (about), to start (with), to begin doing, to get involved (with), to start on (about), to get under way, to become, to make a start, to strike up, to do	fingst an	angefangen	fang(e) an	fängst an	fangest an	fingest an
beginnen		to begin, to start, to commence	begannst	begonnen	beginn(e)	beginnst	beginnest	begännest/begönnest
beeilen		to hurry	beeiltest dich	beeilt	beeil(e) dich	beeilst dich	beeilest dich	beeiltest dich
gehen		to walk, to go, to رفتن, to leave, to work, to extend, to last, to go on, to practicable, to be on	gingst	gegangen	geh(e)	gehst	gehest	gingest
hören		to hear, to listen	hörtest	gehört	hör(e)	hörst	hörest	hörtest
kaufen		to buy, to purchase, to pay	kauftest	gekauft	kauf(e)	kaufst	kaufest	kauftest
verkaufen		to sell	verkauftest	verkauft	verkauf(e)	verkaufst	verkaufest	verkauftest
gewinnen		to win, to gain, to earn, to profit, to get sucsessfully, to produce	gewannst	gewonnen	gewinn(e)	gewinnst	gewinnest	gewönnest/gewännest
vergessen		to forget, to forgot	vergaß(es)t	vergessen	vergiss	vergisst	vergessest	vergäßest
arbeiten		to work, to function, to warp, to be employed	arbeitetest	gearbeitet	arbeit(e)	arbeitest	arbeitest	arbeitetest
sitzen		to sit	saß(es)t	gesessen	sitz(e)	sitzt	sitzest	säßest
sich setzen		to set, to seat, to put, to place, to typeset, to bet, to seed, to litter	setztest	gesetzt	setz(e)	setzt	setzest	setztest
hoffen		to hope	hofftest	gehofft	hoff(e)	hoffst	hoffest	hofftest
sagen		to say, to tell	sagtest	gesagt	sag(e)	sagst	sagest	sagtest
